"Event Name","Event Number","Event Type","Host Names","Description","Price","Age Range","Max Tickets","Sold Count","Wait Count","Starts","Start Date (UTC)","Duration (minutes)","More Info","Room","Space","Date Created","Date Updated","View URI","Player Experience","Game Complexity","Minimum # of Players","Hosting Company, Group, or Club Name","Game System (without edition)","Game Edition","Table Size Request"
"Rescue Down Under (CCC-UCON-02-02)","512","Organized Play","Keith Lubeck","An elderly woman asks you to check in on her grandson, a Gondite tinkerer testing out his latest invention. For experienced players, characters level 5-10. (Characters available) (tier two).","0","Family Friendly (7+)","7","1","0","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://","Clubhouse","Clubhouse 4","2022-09-02T13:06:05","2022-09-15T20:16:21","/conventions/u-con-2022/schedule/512","Some XP","Average","3","U-Con Adventurers League","D&D","5th",""
"Spelljammer Academy: Orientation / Trial by Fire","515","Organized Play","Daniel E. Chapman II","Fall in cadets! It's time for your introduction to Wildspace! (DDAL-SJA-1 & DDAL-SJA-2). Parts 1 & 2 of 4. For beginners and experts, levels 1-4 (tier 1). No materials needed, we can provide!","0","Family Friendly (7+)","7","1","0","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://","Clubhouse","Clubhouse 2","2022-09-02T13:06:11","2022-09-04T17:10:14","/conventions/u-con-2022/schedule/515","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"2-09 Seven Secrets of Dacilane Academy","290","Organized Play","Kurt Wasiluk","According to its students, Dacilane Academy has seven mysteries... and it's up to the Pathfinders to get to the bottom of these urban legends.  Level 1-4 Characters, Pregens available.","0","Teen (13+)","6","1","0","Friday at  9:00 AM","2022-10-07T13:00:00","270","http://","Elizabeth Ann","Table 02","2022-08-06T20:19:06","2022-09-08T00:07:44","/conventions/u-con-2022/schedule/290","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Pathfinder","2nd Edition","5' Round"
"Spelljammer Academy: Realmspace Sortie! / H'Catha","523","Organized Play","Nicholas Best","Fall in cadets! It's time for your introduction to Wildspace! (DDAL-SJA-3 & DDAL-SJA-4). Parts 3 & 4 of 4. For beginners and experts, levels 1-4 (tier 1). No materials needed, we can provide!","0","Family Friendly (7+)","7","0","0","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://","Clubhouse","Clubhouse 3","2022-09-02T13:06:26","2022-09-04T21:42:32","/conventions/u-con-2022/schedule/523","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"Foundations of Rome","398","Board and Card Game","Rachel Vacek","Foundations of Rome is a city-building game in which you take on the role of an architect competing to own land and build magnificent structures within ancient Rome.","0","Teen (13+)","4","4","0","Friday at  9:00 AM","2022-10-07T13:00:00","180","https://boardgamegeek.com/boardgame/284189/foundations-rome","Ballroom","207","2022-08-20T18:22:43","2022-09-02T18:16:31","/conventions/u-con-2022/schedule/398","Beginner","Average","2","University of Michigan Library Staff Gaming Guild",,,"8'x30"" Rectangle (6 chairs)"
"SJA-01 Spelljammer Academy: Orientation","409","Organized Play","Raven Lanier","First adventure in the D&D 5e Spelljammer Academy story. Requires an Adventurers League playable level 1 character.","0","Teen (13+)","7","7","0","Friday at  9:00 AM","2022-10-07T13:00:00","120","http://","Clubhouse","Clubhouse 7","2022-08-22T13:41:17","2022-09-08T11:01:44","/conventions/u-con-2022/schedule/409","Beginner","Simple","3",,"Dungeons & Dragons","5e","5' Round"
"4-01 Intro: Year of Boundless Wonder","302","Organized Play","Kurt Wasiluk","While searching through a newly acquired trove of treasures, Pathfinders are drawn into an otherworldly realm and must use their wits to escape! Level 1-4 Characters, Pregens available, Repeatable.","0","Teen (13+)","6","5","0","Friday at  9:00 AM","2022-10-07T13:00:00","270","http://","Elizabeth Ann","Table 03","2022-08-06T20:19:40","2022-09-10T19:19:38","/conventions/u-con-2022/schedule/302","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Pathfinder","2nd Edition","5' Round"
"What Skitters Below / Watcher in Attic","536","Organized Play","Gina Devlin","Two adventures in a series about the strange happenings near the Forsk estate. (DC-POA-PND-2 & DC-POA-PND-3) For beginners and experts, levels 1-4 (tier 1). No materials needed, we can provide!","0","Family Friendly (7+)","7","0","0","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://","Clubhouse","Clubhouse 01","2022-09-02T13:06:49","2022-09-03T16:28:04","/conventions/u-con-2022/schedule/536","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"Star Wars Fate: Nightrider","174","Role Playing","Mike Mistele","Alliance agents are assigned to infiltrate an Imperial research facility and destroy a frightening new weapon system. A Star Wars adventure set during the Rebellion Era, using the Fate Core ruleset.","0","Adult (18+)","6","6","1","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://","Conference G","Conference G 1","2022-07-28T16:48:49","2022-09-05T17:08:04","/conventions/u-con-2022/schedule/174","Some XP","Average","3","Matinee Adventures","Fate Core",,"5' Round"
"4-04 To Seek the Heart of Calamity","314","Organized Play","Kurt Wasiluk","The Pathfinders seek an ancient weapon buried in Thuvia's remote deserts, rushing to find it before it falls into the wrong hands.  Level 3-6 Characters, Pregens available.","0","Teen (13+)","6","1","0","Friday at  9:00 AM","2022-10-07T13:00:00","270","http://","Elizabeth Ann","Table 04","2022-08-06T20:20:12","2022-09-10T19:19:46","/conventions/u-con-2022/schedule/314","Some XP","Average","2","Michigan Pathfinder and Starfinder Societies","Pathfinder","2nd Edition","5' Round"
"Disney Villainous","377","Board and Card Game","Nick Huston ","Deploy allies and defeat heroes, all in an effort to accomplish your goal before your opponents. Will you be the most villainous of them all?","0","Family Friendly (7+)","4","4","0","Friday at  9:00 AM","2022-10-07T13:00:00","120","http://","Ballroom","206","2022-08-12T11:52:06","2022-09-09T19:40:22","/conventions/u-con-2022/schedule/377","Beginner","Simple","2","Oakland County Gamers",,,"6'x30"" Rectangle (6 chairs)"
"TROIKA! & Bakto's Terrifying Cuisine!","163","Role Playing","Preston Steffey","I will be running a game of TROIKA! with the module Bakto's Terrifying Cuisine. 
TROIKA! Link: https://melsonian-arts-council.itch.io/troika-numinous-edition","0","Family Friendly (7+)","5","5","1","Friday at  9:00 AM","2022-10-07T13:00:00","240","https://roll4tarrasque.itch.io/baktos-terrifying-cuisine","Conference H","Conference H 1","2022-07-28T16:42:05","2022-09-04T19:49:15","/conventions/u-con-2022/schedule/163","Beginner","Average","3","N/A","TROIKA!","Numinous Edition","5' Round"
"Choose Your Own Fantasy Adventure","41","Role Playing","David Perrin","Each player chooses an aspect/part of the adventure/setting to create a collaborative adventure & the GM will fill in the gaps.  No experience needed. Rules light. Materials, pre-gens, & dice provided","0","Family Friendly (7+)","6","5","0","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://","Seminar","Seminar 4","2022-07-15T18:30:39","2022-09-09T01:46:05","/conventions/u-con-2022/schedule/41","Beginner","Average","2","Dave Perrin","Genesys Fantasy Flight RPG","Fantasy Setting","5' Round"
"Starfinder Society Intro #1: The First Test","335","Organized Play","Edward A Kabara","The newest batch of Starfinders completed their training and are ready to join the organization as full-fledged agents—if they can impress Guidance!  For levels 1-4, pregenerated characters available.","0","Teen (13+)","6","4","0","Friday at  9:00 AM","2022-10-07T13:00:00","270","http://","Elizabeth Ann","Table 07","2022-08-06T20:21:11","2022-09-12T17:59:32","/conventions/u-con-2022/schedule/335","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Starfinder","1st edition","5' Round"
"Dune Imperium: Rise of Ix Expansion","43","Board and Card Game","Robert Christensen","As a leader of one of the Great Houses, raise your banner and marshal your forces and spies. Dune: Imperium uses deck-building to add hidden-information to traditional worker placement.","0","Teen (13+)","4","4","0","Friday at  9:00 AM","2022-10-07T13:00:00","120","","Ballroom","425","2022-07-23T18:36:19","2022-09-12T02:01:09","/conventions/u-con-2022/schedule/43","Beginner","Average","1",,,,"6'x18"" Rectangle (6 chairs)"
